condition,pmid,year,outcome_measure,effect_size,measure_type,comparison,population,follow_up,what_was_delayed,grounded,review_flag,supporting_quote,title
appendicitis,35453836,2022,postoperative complication rate,12.1% (daytime) vs 18.6% (nighttime),percentage,daytime vs nighttime,adults,postoperative complication,presentation at night,True,,"In patients presenting in the daytime, 12.1% developed a postoperative complication versus 18.6% for presentation at night (p = 0.008).",Daytime versus Nighttime in Acute Appendicitis.
appendicitis,34463745,2021,perforation rates,"OR, 7.8 (95% CI, 5.5-11.3)",odds_ratio,delayed vs timely diagnosis,children with delayed diagnosis of appendicitis,,diagnosis,False,ungrounded,"Patients with delayed diagnosis had higher perforation rates (OR, 7.8; 95% CI, 5.5-11.3)",Clinical Features and Preventability of Delayed Diagnosis of Pediatric Appendicitis.
appendicitis,27592212,2017,perforation rate,"1.29 (95% CI, 1.05-1.59)",odds_ratio,patients who presented during the workday vs patients presenting in the early morning/late night,adults undergoing appendectomy at 56 hospitals across Washington State,,diagnosis,True,,"Patients who presented during the workday (9 am to 3 pm) had a 30% increase in odds of perforation compared with patients presenting in the early morning/late night (adjusted odds ratio 1.29, 95% confidence interval, 1.05-1.59).",Time-of-day and appendicitis: Impact on management and outcomes.
appendicitis,32250068,2020,wound infection rate in non-overweight patients,2.9% vs. 13.6%,percentage,Antibiotic treatment initiation in the first 4 hours following diagnosis significantly reduced wound infection rate in non-overweight patients [2.9% vs. 13.6%; OR 0.19 (95% CI: 0.045-0.793); p=0.042].,non-overweight patients,first 4 hours following diagnosis,treatment initiation,True,,Antibiotic treatment initiation in the first 4 hours following diagnosis significantly reduced wound infection rate in non-overweight patients [2.9% vs. 13.6%; OR 0.19 (95% CI: 0.045-0.793); p=0.042].,Does time to antibiotic initiation and surgery have an impact on acute appendicitis results?
appendicitis,27749630,2019,odds of perforation,1.02 (95% CI 1.00-1.04),odds_ratio,,children with appendicitis,,time from ED triage to incision,True,,"After adjusting for potential confounders, every hour increase in the time from ED triage to incision was independently associated with a 2% increase in the odds of perforation (P = 0.03; adjusted odds ratio, 1.02; 95% confidence interval, 1.00-1.04).",Association of Delay in Appendectomy With Perforation in Children With Appendicitis.
appendicitis,8906756,1996,incidence of perforation,90%,percentage,,,,diagnosis,False,ungrounded,"with delay, the incidence of perforation was 90%",Delayed appendectomy for appendicitis: causes and consequences.
appendicitis,8906756,1996,major complications,60%,percentage,,,,diagnosis,True,,and major complications were recorded in 60% of the patients,Delayed appendectomy for appendicitis: causes and consequences.
appendicitis,37355425,2023,perforated appendicitis rate,3.1 (95% CI 2.5-3.8),odds_ratio,missed diagnosis vs timely diagnosis,children under 21 years of age visiting five pediatric emergency departments,90-day,diagnosis,False,ungrounded,"Those with missed appendicitis were more likely to have perforated appendicitis (aOR 3.1, 95% CI 2.5-3.8).","OUTCOMES OF MISSED DIAGNOSIS OF PEDIATRIC APPENDICITIS, NEW-ONSET DIABETIC KETOACIDOSIS, AND SEPSIS IN FIVE PEDIATRIC HOSPITALS."
appendicitis,37355425,2023,abdominal abscess drainage rate,3.0 (95% CI 2.4-3.6),odds_ratio,missed diagnosis vs timely diagnosis,children under 21 years of age visiting five pediatric emergency departments,90-day,diagnosis,False,ungrounded,"Those with missed appendicitis were more likely to have abdominal abscess drainage (aOR 3.0, 95% CI 2.4-3.6).","OUTCOMES OF MISSED DIAGNOSIS OF PEDIATRIC APPENDICITIS, NEW-ONSET DIABETIC KETOACIDOSIS, AND SEPSIS IN FIVE PEDIATRIC HOSPITALS."
appendicitis,37355425,2023,death rate,28.4 (95% CI 1.4-207.5),odds_ratio,missed diagnosis vs timely diagnosis,children under 21 years of age visiting five pediatric emergency departments,90-day,diagnosis,False,ungrounded,"Those with missed DKA were more likely to have death (aOR 28.4, 95% CI 1.4-207.5).","OUTCOMES OF MISSED DIAGNOSIS OF PEDIATRIC APPENDICITIS, NEW-ONSET DIABETIC KETOACIDOSIS, AND SEPSIS IN FIVE PEDIATRIC HOSPITALS."
