indication_label,measure,effect_size,outcome_measure,population,year,pmid,supporting_quote
Head CT in syncope,clinically_important_finding_rate,"9% of all scans, 34% of abnormal scans",treatment_changes,unselected older hospitalized patients,2006,16686867,"Only 10 (9% of all scans, 34% of abnormal scans) resulted in treatment changes (including consultations, further imaging, stroke evaluation, and drug changes)."
Head CT in syncope,diagnostic_yield,5%,abnormal_head_ct,"patients presenting with syncope to an urban tertiary-care ED (48,000 annual visits)",2007,17551685,"Five patients, 5% (95% CI=0.8%-8%), had an abnormal head CT: 2 subarachnoid haemorrhage, 2 cerebral haemorrhage and 1 stroke."
Head CT in syncope,clinically_important_finding_rate,"7.1% for dizziness, 6.4% for syncope or near-syncope",acutely abnormal findings on head CT scans,"patients presenting to the emergency department with dizziness, near-syncope, or syncope",2015,25539233,"Of the 253 patients who presented with dizziness, 7.1% had head CT scans with acutely abnormal findings, and 18.6% were admitted. Of the 236 patients who presented with syncope or near-syncope, 6.4% had head CT scans with acutely abnormal findings, and 39.8% were admitted."
Head CT in syncope,diagnostic_yield,4.4%,positive_or_abnormal_rate,predominantly Black population with syncope,2016,27583235,Five out of 114 patients had an acute abnormality on CT (4.4%).
Head CT in syncope,diagnostic_yield,3.8%,positive_or_abnormal_rate,"ED studies (n = 1,669)",2019,31006937,54.4% (95% confidence interval [CI] = 34.9%-73.2%) received head CT with a 3.8% (95% CI = 2.6%-5.1%) diagnostic yield and considerable heterogeneity.
Head CT in syncope,clinically_important_finding_rate,19%,acute findings,patients presenting to the emergency department with syncope,2021,33246274,"The rates of positive acute findings for different referral indications were seizure 27%, confusion 20%, syncope 19%, focal neurologic deficit 16%, head injury 15%, headache 12%, and dizziness 8%."
Head CT in syncope,diagnostic_yield,1%,positive_or_abnormal_rate,patients who underwent head CT scans in the University Hospital of Liege for transient loss of consciousness between December 2020 and July 2021,2022,36354227,CT diagnostic yield is 1 %.
Head CT in syncope,diagnostic_yield,0.82%,positive_or_abnormal_rate,patients with syncope,2021,37427395,"The results in the order of highest percent positivity rate to lowest were EKG (5.7%), carotid ultrasound (4.84%), transthoracic echocardiogram (2.56%), tilt table test (1%), MRI brain (0.99%), CT brain (0.82%) and cardiac stress test (0.09%)."
Head CT in syncope,diagnostic_yield,11.4%,positive_or_abnormal_rate,patients diagnosed with syncope who underwent a head CT,2024,38616670,The total of new CT findings was 11.4%.
Head CT in minor head injury,number_needed_to_scan,6 to 13,traumatic CT findings,patients with blunt minor head injury (Glasgow Coma Scale score of 13-14 or 15) and a risk factor for neurocranial traumatic complications at presentation,2007,17911536,The number of patients needed to scan ranged from six to 13 for traumatic CT findings
Head CT in minor head injury,diagnostic_yield,5.9%,positive_or_abnormal_rate,patients who received CBT due to minor head trauma,2019,31297787,It was also determined that there were abnormal computed tomography (CT) findings in only 68 (5.9%) of the patients in who CBT was performed.
Head CT in minor head injury,overdiagnosis_or_incidentaloma_rate,22.6%,CT_overuse,adults with minor head trauma,2023,37007404,"Only 77.4% of cases met the CCHR criteria and 22.6% were defined as overuse, with 95% confidence interval (0.189, 0.266)."
Head CT in minor head injury,clinically_important_finding_rate,4%,primary_outcome,patients with a negative first CT scan who underwent a second CT scan,2024,38056055,The rate of the primary outcome was 4%.
Head CT in minor head injury,clinically_important_finding_rate,4.7%,secondary_outcome,patients with a negative first CT scan who underwent a second CT scan,2024,38056055,The rate of the secondary outcome was 4.7%.
Head CT in minor head injury,clinically_important_finding_rate,7.1%,positive_or_abnormal_rate,low-risk_children,2024,39470640,"head computed tomography in low-risk children (7.1%; 33 per 1000 admissions; ICC, 8.6%)"
CTPA for suspected PE,positive_or_abnormal_rate,7%,first_repeat_ctpa,repeat group,2016,27435874,The positive rate in the repeat group was 7% at the first repeat CTPA and 10% per-patient within 1000 days.
CTPA for suspected PE,diagnostic_yield,9.9% to 16.5%,positive_or_abnormal_rate,patients with possible pulmonary embolism in the ED,2019,30008186,Overall pulmonary embolism imaging yield rates rose from 9.9% to 16.5% (P < 0.001).
CTPA for suspected PE,diagnostic_yield,15.9%,positive_or_abnormal_rate,patients evaluated for suspected PE in a Canadian academic tertiary center,2019,30658690,"Two hundred eleven CTPA examinations were positive for PE, giving a CTPA positive yield rate of 15.9% (95% CI (13.93-17.87))."
CTPA for suspected PE,diagnostic_yield,9.24%,positive_or_abnormal_rate,adult patients in the emergency department,2020,31155486,"of which 1366 were found to be positive for PE, resulting in an overall CTPA yield of 9.24%."
CTPA for suspected PE,diagnostic_yield,37%,PE,"hospitalised patients with COVID-19, outside of critical care",2020,32682004,The diagnostic yield for PE was 37%.
CTPA for suspected PE,diagnostic_yield,29%,positive_or_abnormal_rate,European patients tested for PE,2021,33048461,"The CTPA diagnostic yield was 29% (95% CI, 26-32) in Europe"
CTPA for suspected PE,diagnostic_yield,13%,positive_or_abnormal_rate,North American patients tested for PE,2021,33048461,"The CTPA diagnostic yield was 13% (95% CI, 9-17) in North America"
CTPA for suspected PE,diagnostic_yield,33%,positive_or_abnormal_rate,clinically_suspected_pe_patients_in_a_tertiary_care_hospital_in_Saudi_Arabia,2021,34087898,Positive results for PE were reported in 177 out of 534 clinically suspected cases (33%).
CTPA for suspected PE,clinically_important_finding_rate,4%,PE,CF patients with suspected PE,2022,35060348,"The prevalence of PE in CF patients undergoing CTPA for suspected PE was 4%, which is lower than predicted by the Revised Geneva Score."
CTPA for suspected PE,clinically_important_finding_rate,41.5%,type_1_incidental_findings,patients with a negative PE result on CTPA exam between Jan 2016 and Dec 2018,2022,35182917,Type 1 incidental findings (alternate diagnosis to PE) were found in 864 patients (41.5%).
CTPA for suspected PE,diagnostic_yield,15.9%,positive_or_abnormal_rate,CTPA examinations at a busy tertiary teaching hospital from 2016 to 2019,2022,35816548,"The overall yield of acute PE has remained steady averaging 15.9%, ranging from 15.0% to 17.2%. "
CTPA for suspected PE,diagnostic_yield,2.8%,positive_or_abnormal_rate,ED patients,2024,37490553,"Diagnostic yield of CTPA in the ED was low, with only four of 144 (2.8%) CTPA scans positive for PE."
CTPA for suspected PE,diagnostic_yield,12.4%,positive_or_abnormal_rate,total CTPAs ordered from 1 January to 30 April 2023 in a tertiary and urban ED in Southeast Queensland,2024,38698536,A total of 573 CTPAs were available for analysis with a 12.4% (95% confidence interval 10.0-15.4) diagnostic yield.
CTPA for suspected PE,diagnostic_yield,3.5%,positive_scan_rate,pregnant_group,2024,38784183,"The positive scan rate was 3.5% and 8.8% in the pregnant and non-pregnant groups, respectively (p = 0.1)."
CTPA for suspected PE,diagnostic_yield,13.3%,positive_or_abnormal_rate,SCD patients,2024,39944193,"In SCD patients, the rate of positive CT pulmonary angiograms was 13.3% (8/60), while in non-SCD matched controls, it was 18.3% (11/60)."
CTPA for suspected PE,diagnostic_yield,14.6%,positive_or_abnormal_rate,patients,2025,40161171,Findings revealed that only 14.6% of CTPA scans confirmed PE.
CTPA for suspected PE,diagnostic_yield,19%,positive_or_abnormal_rate,patients_with_suspected_pe,2025,41552157,"Cycle 1 included 58 patients, with 11 positive CTPAs (diagnostic yield, 19%)."
CTPA for suspected PE,diagnostic_yield,21% [95% CI: 17-26],positive_or_abnormal_rate,mechanically ventilated patients with suspected pulmonary embolism,2026,41795931,"Among 1113 thoracic computed tomography exams, 243 were CTPA ordered on clinical PE suspicion, yielding 52 (21% [95% CI: 17-26]) positives."
CT after cardiac arrest,clinically_important_finding_rate,11.8% (95% CI: 5.1-23.8%),any kind of intracranial hemorrhage or other clinically significant abnormalities,post-cardiac arrest patients who underwent cranial computed tomography,2010,20454869,"Six patients (11.8%, 95% CI: 5.1-23.8%) exhibited findings consistent with either an ICH (with or without herniation) or herniation without an ICH."
CT after cardiac arrest,clinically_important_finding_rate,42.3%,therapy-relevant findings,victims of OHCA,2016,26597877,"In victims of OHCA, early diagnostic CT provides therapy-relevant findings in a high proportion (42.3 %) of patients examined."
CT after cardiac arrest,number_needed_to_scan,1 in 4,change_in_management,post-cardiac arrest patients within the first 6 hours of return of spontaneous circulation,2021,34147572,"Approximately 1 in 4 early HCTs were abnormal (most commonly HIBI changes; 78.7%, n = 37)"
CT after cardiac arrest,clinically_important_finding_rate,7.5% for intracranial hemorrhage; 33.5% for cerebral edema; 1.7% for acute vertebral fractures; 55.4% for rib or sternal fractures; 6.6% for pneumothorax; 75.4% for aspiration or pneumonia; 4.4% for mediastinal hematoma; 3.7% for pulmonary embolism; 6.6% for bowel ischemia; 1.9% for solid organ laceration,"intracranial hemorrhage or cerebral edema in head CT, vertebral fractures in cervical spine CT, rib or sternal fractures or pneumothorax or aspiration or pneumonia or mediastinal hematoma or pulmonary embolism in chest CT, bowel ischemia or solid organ laceration in abdomen and pelvis CT",non-traumatic OHCA patients treated at a single center from February 2019 to February 2021,2023,37422167,"of which 36 (7.5%) had intracranial hemorrhage and 161 (33.5%) had cerebral edema; Fewer subjects (230, 38.5%) underwent a cervical spine CT, and 4 (1.7%) had acute vertebral fractures; Most subjects (410, 68.7%) underwent a chest CT, and abdomen and pelvis CT (363, 60.8%). Chest CT abnormalities included rib or sternal fractures (227, 55.4%), pneumothorax (27, 6.6%), aspiration or pneumonia (309, 75.4%), mediastinal hematoma (18, 4.4%) and pulmonary embolism (6, 3.7%). Significant abdomen and pelvis findings were bowel ischemia (24, 6.6%) and solid organ laceration (7, 1.9%)."
CT after cardiac arrest,diagnostic_yield,30%,positive_or_abnormal_rate,survivors_of_sudden_circulatory_arrest,2023,37506817,CT has a diagnostic yield approaching 30% to identify causes of SCA
