condition,outcome_or_contrast,effect_size,measure_type,pmid,year
"Appendicitis","Perforation — delayed vs timely diagnosis (pediatric)","OR 7.8 (95% CI 5.5–11.3)","odds ratio","34463745","2021"
"Appendicitis","Perforation per hour of delay (ED triage → incision)","OR 1.02 per hour (95% CI 1.00–1.04) ≈ +2%/h","odds ratio (per h)","27749630","2019"
"Appendicitis","Perforated appendicitis — missed vs timely diagnosis","aOR 3.1 (95% CI 2.5–3.8)","odds ratio","37355425","2023"
"Appendicitis","Abdominal abscess drainage — missed vs timely diagnosis","aOR 3.0 (95% CI 2.4–3.6)","odds ratio","37355425","2023"
"Appendicitis","Wound infection — antibiotics >4 h vs ≤4 h after dx (non-overweight)","13.6% vs 2.9% (OR 0.19, 95% CI 0.045–0.793)","percentage / OR","32250068","2020"
"Ischemic stroke","90-day disability (mRS) — thrombectomy by onset-to-puncture window","cOR 2.79 (3 h) → 1.57 (8 h)","common OR","27673305","2016"
"Ischemic stroke","Per 1-h delay to reperfusion (thrombectomy)","disability cOR 0.84 (0.76–0.93); functional independence OR 0.81 (0.71–0.92)","odds ratio (per h)","27673305","2016"
"Ischemic stroke","Zero days-at-home in 1 yr — per 15-min door-to-needle increase (IVT+EVT)","OR 1.07 (95% CI 1.02–1.11)","odds ratio (per 15 min)","37199147","2023"
"Ischemic stroke","3-month mortality — by door-to-needle time","OR 0.24 (DTN ≤30 min) vs 0.58 (≤60 min)","odds ratio","40947717","2025"
"Ischemic stroke","Good outcome (mRS 0–2) — risk difference by reperfusion time","25.9% (3 h) → 18.8% (4 h) → 6.7% (6 h)","risk difference","26716735","2016"
"Ischemic stroke","In-hospital mortality — per 15-min faster onset-to-treatment","OR 0.96 (95% CI 0.95–0.98)","odds ratio (per 15 min)","23780461","2013"
"Ischemic stroke","90-day mortality — early vs late thrombectomy","0.66 vs 0.77 events/person-yr (IRR 0.81)","rate ratio","41102478","2026"
"Pulmonary embolism","30-day mortality — delayed vs timely dx (cohort 1)","2.52% → 8.33% (RR 3.31, 95% CI 2.03–5.38)","relative risk","41004149","2025"
"Pulmonary embolism","30-day mortality — delayed vs timely dx (cohort 2)","4.65% → 5.97% (RR 1.28, 95% CI 0.30–5.53; NS)","relative risk","41004149","2025"
"Pulmonary embolism","In-hospital mortality — early vs delayed diagnosis","1.6% vs 43.2%","percentage","32694258","2020"
"Pulmonary embolism","Death — delayed vs early treatment","9% vs 5%","percentage","41029651","2025"
"Aortic dissection","30-day survival (surgically treated; deaths attributed to late referral)","84.2% (16/19); 3 deaths all late-referral","percentage","1924674","1991"
"Mesenteric ischemia","Mortality — surgery ≤24 h vs >24 h","72% vs 87%","percentage","16796010","2006"
"Mesenteric ischemia","Survival — early surgery (4–12 h) vs not early","41.7% vs 4.76%","percentage","34055998","2021"
"Mesenteric ischemia","30-day mortality — delayed revascularization","OR 2.09 (95% CI 1.4–4.9)","odds ratio","34634418","2022"
"Mesenteric ischemia","2-year mortality — delayed revascularization","HR 1.55 (95% CI 1.0–2.3)","hazard ratio","34634418","2022"
"Mesenteric ischemia","Bowel resection length — delayed revascularization","OR 7.47","odds ratio","34634418","2022"
"Mesenteric ischemia","Postoperative short bowel syndrome — delayed revascularization","OR 2.4","odds ratio","34634418","2022"
"Mesenteric ischemia","Mortality — delayed surgical consultation (>24 h)","aOR 9.4 (90% CI 1.3–65)","odds ratio","19350855","2009"
"Mesenteric ischemia","Mortality — delayed operation (>6 h after consult)","aOR 3.7 (90% CI 1.1–12)","odds ratio","19350855","2009"
"Mesenteric ischemia","In-hospital mortality — by diagnosis-to-operation interval","59% (10 h) vs 71% (37 h); p=0.06","percentage","12200729","2002"
"Major trauma","Survival benefit of whole-body CT (narrative review; no CI)","+20–25% probability of survival vs prior methods","percentage","25216568","2014"
